Word,Count
a,2631
aa,1
abandon,1
abdominal,1
ability,6
able,54
abnormal,1
abnormally,1
about,237
above,11
abraham,1
abrasions,1
abruptly,3
absolete,1
absolute,3
absolutely,15
absorb,1
abuse,1
abused,1
abysmal,1
abysmally,1
abyss,1
academic,1
accept,6
acceptable,4
accepted,1
accepting,2
access,3
accessories,1
accident,1
accidentally,2
accidently,1
accommodate,3
accomodate,1
accomodating,1
accompanied,1
accompanying,1
accomplish,1
accomplished,1
accord,1
according,8
accordingly,1
account,8
accumulated,1
accuracy,1
accurate,6
accustomed,1
ace,1
achieved,1
acknowledged,1
acquired,1
acrid,1
across,8
acs,1
act,1
actaully,1
acted,3
acting,2
action,1
activate,3
activated,3
activating,1
actively,1
activity,1
acts,2
actual,12
actually,40
acutally,1
ad,1
ada,1
adapt,1
adapter,1
adavance,1
add,21
added,4
adding,3
addition,6
additional,6
additionally,2
additions,1
additonal,1
address,7
addressed,1
addresses,2
adds,1
addvice,1
adept,1
adequate,1
adequately,3
adhere,1
adjacent,1
adjust,8
adjustable,1
adjusted,5
adjusting,1
adjustment,1
adjustments,1
admit,4
admitted,1
adorable,1
adult,1
adults,4
advanced,1
adversarial,1
adverse,1
advertised,16
advertisement,1
advertises,1
advertising,3
advice,5
advise,6
advised,5
advises,1
aesthetic,1
aesthetically,1
aesthetics,1
af,1
affect,3
affected,2
affecting,1
affiliated,1
afford,6
afraid,6
after,472
afternoon,1
afterwards,1
again,173
againgetting,1
againi,4
against,9
age,3
agency,1
agent,3
ages,1
aggravating,1
aggravation,1
aggressive,1
agh,1
aghast,1
agian,1
ago,69
agree,4
agreed,6
ah,1
ahead,8
ahold,3
aid,1
aim,1
aiming,1
air,111
aircraft,1
aired,1
airfried,1
airfry,4
airfryer,8
airplane,1
ajar,1
aka,1
alarm,4
alarming,1
alarms,1
alas,3
albeit,1
albiet,1
alcove,1
alert,5
alerted,2
alerts,1
alexa,59
algunas,1
align,2
aligned,3
alimientos,1
alisaof,1
alive,1
all,302
alleged,1
alleging,1
alleviated,1
allid,1
allll,1
allotted,1
allow,12
allowed,2
allowing,3
allows,4
