Word,Count
a,1
aa,33
abandon,33
abated,33
abdominal,33
ability,13
abit,33
able,3
abnormal,33
abnormally,33
above,9
abraham,33
abrasions,33
abruptly,33
absence,33
absolete,33
absolute,6
absolutely,5
absorb,33
absorbing,33
absorbs,33
abuilt,33
abuse,1
abused,33
abysmal,33
abysmally,33
abyss,33
ac,33
academic,33
accelerator,33
accents,33
accept,27
acceptable,12
accepted,12
accepting,17
accepts,33
accesible,33
access,2
accessed,33
accessible,33
accessories,5
accident,16
accidentally,33
accidently,33
accommodate,9
accommodatemy,33
accommodates,33
accommodating,33
accomodate,1
accomodates,33
accomodating,33
accompanied,33
accompanying,1
accomplish,5
accomplished,33
accomplishment,33
accord,33
according,16
accordingly,33
account,15
accumulate,33
accumulated,12
accumulation,33
accuracy,33
accurate,15
accurately,33
accustom,33
accustomed,17
ace,1
achieve,33
achieved,1
achieving,33
acknowledged,33
acquainted,33
acquired,10
acrid,33
across,8
acs,33
act,21
actaully,33
acted,33
acting,1
action,10
actionsall,33
activate,2
activated,33
activating,33
activation,33
active,33
actively,33
activity,33
acts,17
actually,5
actuator,33
acutally,33
ad,10
ada,33
adapt,1
adaptable,33
adapter,1
adavance,33
add,16
added,12
addendum,33
addicted,33
adding,22
addition,6
additional,9
additionally,4
additions,33
additonal,33
address,6
addressed,33
addresses,33
adds,21
addvice,33
ademas,33
adentro,33
adept,33
adequate,24
adequately,12
adhere,33
adhesive,33
adicional,33
adjacent,10
adjust,5
adjustable,23
adjusted,12
adjusting,23
adjustment,23
adjustments,16
adjusts,33
admirably,33
admit,4
admitted,33
adorable,33
adult,5
adults,24
advance,33
advanced,17
advantage,33
advantages,33
adventure,33
adversarial,33
adverse,33
advertencias,33
advertised,1
advertisement,1
advertises,33
advertising,1
advice,21
advise,22
advised,12
advises,33
advocacy,33
aerospace,33
aesthetic,12
aesthetically,21
aesthetics,12
af,1
affect,9
affected,8
affecting,33
affects,33
affiliated,33
affiliation,33
affirm,33
affixed,33
affixing,33
afford,33
affordable,33
affordably,33
aforementioned,33
afraid,11
after,13
afternoon,33
afterwards,1
afull,33
again,13
againgetting,33
againi,33
against,2
age,11
aged,33
agency,33
agent,33
ages,1
aggravating,1
aggravation,33
aggressive,33
agh,33
aghast,33
agian,33
aging,33
ago,16
agrado,33
agree,4
agreed,33
agreeing,33
ah,33
ahead,8
ahold,33
ahora,33
aid,19
aide,33
aids,33
aim,12
aiming,33
air,6
aircraft,33
airdrying,33
aired,33
airflow,33
airfried,12
airfry,7
airfryer,1
airfrying,33
airfrys,33
airplane,1
ajar,5
aka,5
al,33
alarm,3
alarmed,33
alarming,33
alarms,1
alas,33
albeit,33
albiet,33
alcove,1
alert,1
alerted,33
alerting,33
alerts,1
alexa,4
alfredo,33
algo,33
algunas,33
align,17
aligned,12
alike,33
alimentos,33
alimientos,33
alisaof,33
alittle,33
alive,33
alleged,33
alleging,33
alleviated,33
allid,33
allimportant,33
allll,33
allotted,1
allow,5
allowed,16
allowing,8
allows,19
almost,3
aloha,33
alone,5
along,1
alongside,33
alot,13
already,18
alright,17
also,5
alter,33
alternate,16
alternates,33
alternating,33
alternative,33
alternatives,33
although,8
altogether,33
alumimum,33
aluminum,8
always,2
amana,27
amazed,33
amazin,33
amazing,13
amazingly,33
amazon,15
amazong,33
amazons,19
ambient,33
amend,33
amends,33
america,12
american,17
among,16
amongst,33
amount,4
amounted,33
amounting,33
amounts,19
amountthanking,33
amout,33
amp,16
amperage,33
ample,33
amplio,33
amps,7
amused,33
amz,33
an,3
analyzer,33
anchor,17
anchored,33
ancient,33
android,33
ands,33
anemic,33
anger,33
angle,1
angled,33
angles,1
angry,17
animals,33
anniversary,33
annoy,33
annoyance,10
annoyances,33
annoyed,1
annoying,1
annoyingly,33
annoys,33
annunciator,33
anomaly,33
another,9
ans,33
answer,10
answered,4
answering,12
answers,15
anthony,33
anticipate,33
anticipated,21
anticipating,1
antiquated,33
antique,33
ants,1
anxiety,33
anxious,33
any,2
anybody,17
anyhoo,33
anyhow,33
anymore,12
anyone,8
anything,7
anytime,10
anyway,3
anyways,33
anywhere,4
apart,18
apartment,18
apartments,24
apllicances,33
apologize,33
apostrophe,33
app,3
apparatus,33
apparent,33
apparently,10
appeal,33
appealed,33
appealing,10
appear,4
appearance,12
appeared,20
appearing,1
appears,4
appetite,33
appetizers,33
apple,10
appliance,1
appliances,12
application,33
applied,12
applies,1
apply,1
appointments,33
apportioned,33
appreciate,9
appreciated,19
appreciates,33
apprehensive,33
approach,10
approaches,33
approaching,33
appropriate,10
appropriately,33
approval,33
approved,17
approving,33
approx,10
approximate,33
approximately,17
apps,6
apptwo,33
april,31
apt,12
aptly,33
aqua,33
ara,33
arbitrary,1
arc,1
arcaic,33
arced,33
arch,33
arcing,26
arcs,33
arduous,33
are,5
area,2
areas,6
argue,33
arguing,33
argument,33
arizona,33
arking,33
arm,19
arms,1
army,33
aroma,33
around,4
arpt,33
arrange,1
arranged,33
arrangement,33
array,33
arrival,5
arrive,8
arrived,3
arrives,12
arriving,16
arrows,33
arruino,33
art,33
artful,33
arthiritis,33
arthritic,33
arthritis,1
arthur,33
artic,33
article,33
articulo,33
ary,33
as,4
asap,12
asethetically,33
aside,6
asinine,33
ask,1
asked,18
asking,19
asks,33
asleep,33
asneeded,33
aspect,24
aspecto,33
aspects,1
ass,33
assaulted,33
assemble,33
assembled,33
assemblies,33
assembly,23
assess,33
asset,33
assign,33
assigned,33
assist,33
assistance,33
assistant,33
assisted,33
assists,33
associate,33
associated,17
assume,7
assumed,26
assumes,33
assuming,9
assumption,1
assurance,33
assure,1
assured,10
assuredly,33
assuring,1
assurion,33
aster,33
asthetically,33
astickler,33
asurian,33
asurion,27
at,4
atari,33
ate,1
atfarberware,33
atomic,33
atop,33
atrocious,33
attach,21
attached,11
attaches,33
attachment,33
attachments,33
attempt,15
attempted,8
attempting,33
attempts,28
attend,33
attention,10
attentive,33
attest,33
attitude,33
attract,33
attracted,33
attractive,27
attributed,33
auburndale,33
audible,17
audio,17
aug,33
august,26
aunque,33
aunt,33
aup,33
author,33
authority,33
authorization,1
authorized,33
autistic,33
auto,10
autobake,33
autocooks,33
autodefrost,33
automated,28
automatic,4
automatically,8
auxiliary,33
avail,15
availability,1
available,3
avalble,33
average,4
averted,33
avid,33
avocado,33
avoid,11
avoided,1
avoiding,33
await,33
awaiting,33
awakened,33
awards,33
aware,12
away,11
awesome,24
awful,27
awhile,5
awkward,6
axis,1
aye,33
b,10
babied,33
baby,1
babysit,33
babysitting,1
bachelor,33
back,14
backed,33
background,12
backhoe,33
backlight,12
backlighting,33
backlit,10
backlite,33
backs,33
backsplash,33
backup,16
backward,12
backwards,5
backyard,10
bacon,1
bacteria,33
bad,10
badged,33
badly,17
baffles,1
bag,9
baganda,33
bagel,33
bagels,33
bagged,1
bags,5
bake,13
baked,7
baker,33
bakers,33
bakes,33
bakeware,1
baking,17
balance,9
balanced,33
ball,33
bam,1
band,1
bang,14
banged,8
banging,21
bangs,33
bank,1
bar,1
barbie,10
bare,8
barely,14
bargain,33
barley,33
barn,33
baron,33
barrel,33
bars,1
bartending,33
base,9
based,5
basement,4
bases,33
bashed,33
basic,9
basically,5
basics,10
basis,6
basket,6
basmati,33
basta,33
bastante,33
bat,33
batch,1
bath,1
bathroom,1
batter,1
battered,33
battery,10
battle,33
battleship,33
battling,33
bay,33
bbb,33
bbq,33
bc,10
bd,16
be,1
beach,1
beacon,33
beam,33
beamed,33
beans,33
bear,33
bearing,10
bears,33
beast,33
beat,24
beaten,33
beating,33
beats,33
beautiful,20
beautifully,6
beauty,19
beaware,33
became,15
because,3
become,6
becomes,14
becoming,21
bed,12
bedroom,24
bee,33
beech,33
beeeeep,33
beef,23
beefaroni,33
been,1
beep,7
beeped,33
beeper,10
beeping,11
beepless,1
beeps,13
beepsno,33
beer,33
before,8
beforehand,10
beg,33
began,28
begin,5
beginner,33
beginng,33
beginning,12
begins,1
begun,8
behaving,33
behavior,21
behemoth,16
behind,13
behold,1
being,2
bejeezus,33
believe,7
believing,33
bell,16
bells,24
belongs,33
beloved,33
below,9
bench,16
bend,33
beneath,33
benefit,33
benefits,33
benign,33
bent,9
berserk,33
beside,33
besides,6
best,14
bestbuy,33
bet,1
beta,33
betcha,33
betrayed,33
better,2
betterthan,33
between,14
beverage,16
beverages,14
beverageslarge,33
bew,33
beware,22
beyond,11
bezel,33
bialy,33
bialys,33
biased,33
bien,27
big,14
bigfer,33
bigger,18
biggest,2
biggger,33
biggie,1
bike,33
bill,18
billing,33
billow,33
billowed,33
billowing,33
bills,1
bin,33
bind,1
