Word,Count
aa,15
abandon,15
abated,15
abdominal,15
ability,6
abit,15
able,2
abnormal,15
abnormally,15
above,4
abraham,15
abrasions,15
abruptly,15
absence,15
absolete,15
absolute,3
absolutely,2
absorb,15
absorbing,15
absorbs,15
abuilt,15
abuse,1
abused,15
abysmal,15
abysmally,15
abyss,15
ac,15
academic,15
accelerator,15
accents,15
accept,12
acceptable,6
accepted,6
accepting,8
accepts,15
accesible,15
access,1
accessed,15
accessible,15
accessories,3
accident,7
accidentally,15
accidently,15
accommodate,4
accommodatemy,15
accommodates,15
accommodating,15
accomodate,1
accomodates,15
accomodating,15
accompanied,15
accompanying,1
accomplish,3
accomplished,15
accomplishment,15
accord,15
according,7
accordingly,15
account,7
accumulate,15
accumulated,6
accumulation,15
accuracy,15
accurate,7
accurately,15
accustom,15
accustomed,8
ace,1
achieve,15
achieved,1
achieving,15
acknowledged,15
acquainted,15
acquired,5
acrid,15
across,4
acs,15
act,10
actaully,15
acted,15
acting,1
action,5
actionsall,15
activate,1
activated,15
activating,15
activation,15
active,15
actively,15
activity,15
acts,8
actually,2
actuator,15
acutally,15
ad,5
ada,15
adapt,1
adaptable,15
adapter,1
adavance,15
add,7
added,6
addendum,15
addicted,15
adding,10
addition,3
additional,4
additionally,2
additions,15
additonal,15
address,3
addressed,15
addresses,15
adds,10
addvice,15
ademas,15
adentro,15
adept,15
adequate,11
adequately,6
adhere,15
adhesive,15
adicional,15
adjacent,5
adjust,2
adjustable,11
adjusted,6
adjusting,11
adjustment,11
adjustments,7
adjusts,15
admirably,15
admit,2
admitted,15
adorable,15
adult,3
adults,11
advance,15
advanced,8
advantage,15
advantages,15
adventure,15
adversarial,15
adverse,15
advertencias,15
advertised,1
advertisement,1
advertises,15
advertising,1
advice,10
advise,10
advised,6
advises,15
advocacy,15
aerospace,15
aesthetic,6
aesthetically,10
aesthetics,6
af,1
affect,4
affected,4
affecting,15
affects,15
affiliated,15
affiliation,15
affirm,15
affixed,15
affixing,15
afford,15
affordable,15
affordably,15
aforementioned,15
afraid,5
after,6
afternoon,15
afterwards,1
afull,15
again,6
againgetting,15
againi,15
against,1
age,5
aged,15
agency,15
agent,15
ages,1
aggravating,1
aggravation,15
aggressive,15
agh,15
aghast,15
agian,15
aging,15
ago,7
agrado,15
agree,2
agreed,15
agreeing,15
ah,15
ahead,4
ahold,15
ahora,15
aid,9
aide,15
aids,15
aim,6
aiming,15
air,3
aircraft,15
airdrying,15
aired,15
airflow,15
airfried,6
airfry,3
airfryer,1
airfrying,15
airfrys,15
airplane,1
ajar,3
aka,3
al,15
alarm,1
alarmed,15
alarming,15
alarms,1
alas,15
albeit,15
albiet,15
alcove,1
alerted,15
alerting,15
alerts,1
alexa,2
alfredo,15
algo,15
algunas,15
align,8
aligned,6
alike,15
alimentos,15
alimientos,15
alisaof,15
alittle,15
alive,15
alleged,15
alleging,15
alleviated,15
allid,15
allimportant,15
allll,15
allotted,1
allow,2
allowed,7
allowing,4
allows,9
almost,1
aloha,15
alone,2
along,1
alongside,15
alot,6
already,8
alright,8
also,2
alter,15
alternate,7
alternates,15
alternating,15
alternative,15
alternatives,15
although,4
altogether,15
alumimum,15
aluminum,4
always,1
amana,13
amazed,15
amazin,15
amazing,6
amazingly,15
amazon,7
amazong,15
amazons,9
ambient,15
amend,15
amends,15
america,6
american,8
among,7
amongst,15
amount,2
amounted,15
amounting,15
amounts,9
amountthanking,15
amout,15
amp,7
amperage,15
ample,15
amplio,15
amps,3
amused,15
amz,15
an,1
analyzer,15
anchor,8
anchored,15
ancient,15
android,15
ands,15
anemic,15
anger,15
angle,1
angled,15
angles,1
angry,8
animals,15
anniversary,15
annoy,15
annoyance,5
annoyances,15
annoyed,1
annoying,1
annoyingly,15
annoys,15
annunciator,15
anomaly,15
another,4
ans,15
answer,5
answered,2
answering,6
answers,7
anthony,15
anticipate,15
anticipated,10
anticipating,1
antiquated,15
antique,15
ants,1
anxiety,15
anxious,15
any,1
anybody,8
anyhoo,15
anyhow,15
anymore,6
anyone,4
anything,3
anytime,5
anyway,2
anyways,15
anywhere,2
apart,9
apartment,8
apartments,11
apllicances,15
apologize,15
apostrophe,15
app,1
apparatus,15
apparent,15
apparently,5
appeal,15
appealed,15
appealing,5
appear,2
appearance,6
appeared,9
appearing,1
appears,2
appetite,15
appetizers,15
apple,5
appliance,1
appliances,6
application,15
applied,6
applies,1
apply,1
appointments,15
apportioned,15
appreciate,4
appreciated,9
appreciates,15
apprehensive,15
approach,5
approaches,15
approaching,15
appropriate,5
appropriately,15
approval,15
approved,8
approving,15
approx,5
approximate,15
approximately,8
apps,3
apptwo,15
april,14
apt,5
aptly,15
aqua,15
ara,15
arbitrary,1
arc,1
arcaic,15
arced,15
arch,15
arcing,12
arcs,15
arduous,15
are,2
area,1
areas,3
argue,15
arguing,15
argument,15
arizona,15
arking,15
arm,9
arms,1
army,15
aroma,15
around,2
arpt,15
arrange,1
arranged,15
arrangement,15
array,15
arrival,2
arrive,4
arrived,2
arrives,6
arriving,7
arrows,15
arruino,15
art,15
artful,15
arthiritis,15
arthritic,15
arthritis,1
arthur,15
artic,15
article,15
articulo,15
ary,15
as,2
asap,6
asethetically,15
aside,3
asinine,15
asked,8
asking,9
asks,15
asleep,15
asneeded,15
aspect,11
aspecto,15
aspects,1
ass,15
assaulted,15
assemble,15
assembled,15
assemblies,15
assembly,11
assess,15
asset,15
assign,15
assigned,15
assist,15
assistance,15
assistant,15
assisted,15
assists,15
associate,15
associated,8
assume,3
assumed,12
assumes,15
assuming,4
assumption,1
assurance,15
assure,1
assured,5
assuredly,15
assuring,1
assurion,15
aster,15
asthetically,15
astickler,15
asurian,15
asurion,12
at,2
atari,15
ate,1
atfarberware,15
atomic,15
atop,15
atrocious,15
attach,10
attached,5
attaches,15
attachment,15
attachments,15
attempt,7
attempted,4
attempting,15
attempts,13
attend,15
attention,5
attentive,15
attest,15
attitude,15
attract,15
attracted,15
attractive,13
attributed,15
auburndale,15
audible,8
audio,8
aug,15
august,12
aunque,15
aunt,15
aup,15
author,15
authority,15
authorization,1
authorized,15
autistic,15
auto,5
autobake,15
autocooks,15
autodefrost,15
automated,13
automatic,2
automatically,4
auxiliary,15
avail,7
availability,1
available,2
avalble,15
average,2
averted,15
avid,15
avocado,15
avoid,5
avoided,1
avoiding,15
await,15
awaiting,15
awakened,15
awards,15
aware,6
away,5
awesome,11
awful,13
awhile,2
awkward,3
axis,1
aye,15
b,5
babied,15
baby,1
babysit,15
babysitting,1
bachelor,15
back,6
backed,15
background,6
backhoe,15
backlight,6
backlighting,15
backlit,5
backlite,15
backs,15
backsplash,15
backup,7
backward,6
backwards,3
backyard,5
bacon,1
bacteria,15
bad,5
badged,15
badly,8
baffles,1
bag,4
baganda,15
bagel,15
bagels,15
bagged,1
bags,2
bake,6
baked,3
baker,15
bakers,15
bakes,15
bakeware,1
baking,8
balance,4
balanced,15
ball,15
bam,1
band,1
bang,7
banged,4
banging,10
bangs,15
bank,1
bar,1
barbie,5
bare,4
barely,7
bargain,15
barley,15
barn,15
baron,15
barrel,15
bars,1
bartending,15
base,4
based,3
basement,2
bases,15
bashed,15
basic,4
basically,2
basics,5
basis,3
basket,3
basmati,15
basta,15
bastante,15
bat,15
batch,1
bath,1
bathroom,1
batter,1
battered,15
battery,5
battle,15
battleship,15
battling,15
bay,15
bbb,15
bbq,15
bc,5
bd,8
be,1
beach,1
beacon,15
beam,15
beamed,15
beans,15
bear,15
bearing,5
bears,15
beast,15
beat,11
beaten,15
beating,15
beats,15
beautiful,9
beautifully,3
beauty,9
beaware,15
became,7
because,1
become,3
becomes,7
becoming,10
bed,6
bedroom,11
bee,15
beech,15
beeeeep,15
beef,11
beefaroni,15
beep,3
beeped,15
beeper,5
beeping,5
beepless,1
beeps,6
beepsno,15
beer,15
before,4
beforehand,5
beg,15
began,13
begin,2
beginner,15
beginng,15
beginning,6
begins,1
begun,4
behaving,15
behavior,10
behemoth,7
behind,6
behold,1
being,1
bejeezus,15
believe,3
believing,15
bell,7
bells,11
belongs,15
beloved,15
below,4
bench,7
bend,15
beneath,15
benefit,15
benefits,15
benign,15
bent,4
berserk,15
beside,15
besides,3
best,6
bestbuy,15
bet,1
beta,15
betcha,15
betrayed,15
better,1
betterthan,15
between,7
beverage,7
beverages,7
beverageslarge,15
bew,15
beware,10
beyond,5
bezel,15
bialy,15
bialys,15
biased,15
bien,12
big,6
bigfer,15
bigger,9
biggest,1
biggger,15
biggie,1
bike,15
bill,8
billing,15
billow,15
billowed,15
billowing,15
bills,1
bin,15
bind,1
binding,15
bingo,15
bird,15
birth,15
birthday,6
biscuits,5
bisque,15
bit,10
bite,15
bites,15
biting,15
bits,15
bitten,15
biweekly,15
bizarre,15
bla,15
black,3
blacked,15
blackened,15
blackndecker,15
blackout,15
blame,15
blamed,15
blaming,15
blank,7
blanket,15
blaring,15
blast,15
blasted,15
blasts,15
blatantly,15
blazing,5
bleach,15
bleached,15
blech,15
blemishes,15
blend,15
blender,5
blenders,15
blends,7
bless,15
blessing,15
blessings,15
blew,7
blind,5
blink,15
blinking,6
blinks,1
blissfully,15
blister,15
blistering,15
blob,15
block,15
blocking,15
blocks,1
bloody,15
blow,2
blown,11
blows,7
blueberries,15
bluetooth,1
bluish,15
blur,15
blurb,15
blurry,15
bmw,15
bnb,15
board,3
boards,15
boat,7
boats,15
body,1
bog,15
boil,4
boiled,1
boilling,15
boilover,15
boils,1
bold,7
bomb,1
bombarded,15
bone,15
boneless,15
bones,15
bonito,15
bonkers,15
bonus,12
bonuses,15
boo,15
book,5
booklet,8
books,15
bookshelf,15
boom,4
boomer,15
boooo,15
boost,15
boosts,15
boot,15
border,15
bore,1
boring,15
borrowed,1
bosch,15
bot,15
both,4
bother,2
bothered,12
bothering,15
bothers,15
bothersome,1
bothersum,15
bottle,15
bottom,2
bough,15
bought,3
bounce,15
bounced,15
bounces,15
bouncing,7
bouncy,15
bound,1
bowl,3
bowls,1
box,5
boxed,4
boxes,2
boxing,15
boy,6
boys,15
boyt,15
bpa,15
brace,6
bracelet,15
bracket,15
brackets,15
brad,15
braeck,15
brainer,15
brains,15
brake,15
brakes,15
brand,4
branded,1
brandi,15
brands,3
bread,9
breadcrumbs,15
breads,15
breadyou,15
break,6
breakdown,6
breakdowns,15
breaker,1
breakers,8
breakfast,12
breaking,6
breakroom,15
breaks,4
breast,6
breasts,15
breath,5
breathe,15
breathing,15
breeze,12
breville,15
brghter,15
brick,11
bridge,15
brief,1
briefly,15
bright,8
brighter,15
brightest,15
brightly,8
brightness,1
brilliant,15
brilliantly,15
brimstone,15
bring,9
bringing,5
brings,9
brio,15
brisket,15
brittle,15
broccoli,5
broil,7
broiled,15
broiler,3
broiling,10
broils,15
broke,7
brokedown,15
broken,10
brother,15
brought,2
brown,1
browned,1
brownies,1
browning,9
brownouts,15
browns,15
brownspush,15
browser,15
bruise,15
brush,1
brushed,5
brushing,15
brussels,7
bs,15
btw,4
bubble,6
bubbled,10
bubbles,15
bubbling,8
bubbly,15
bucci,15
buck,11
bucket,5
bucks,4
buddies,15
budge,15
budget,8
budner,15
buen,15
buena,15
bueno,5
buffalo,15
bug,6
buggy,1
bugs,2
build,4
builders,15
building,2
builds,7
buildup,5
built,6
bulb,12
bulbs,4
bulges,15
bulk,15
bulkiness,15
bulky,3
bullet,7
bulletproof,15
bum,1
bumble,15
bummed,15
bummer,1
bump,3
bumped,15
bumping,5
bumps,15
bumpy,15
bun,15
bunch,3
bundle,15
bureau,15
bureaucratic,15
burger,1
burglar,15
burn,3
burned,6
burnedso,15
burning,10
burns,10
burnt,11
burrito,4
burritos,9
burs,15
burst,15
bursts,15
bus,15
bushing,15
business,7
busted,15
busy,6
but,1
butcher,15
butt,5
butter,3
buttered,1
butthere,15
button,4
buttonit,15
buttonmakes,15
buttons,2
buy,6
