Word,Count
aa,40
abandon,40
abated,40
abdominal,40
abit,40
abnormal,40
abnormally,40
abraham,40
abrasions,40
abruptly,40
absence,40
absolete,40
absorb,40
absorbing,40
absorbs,40
abuilt,40
abused,40
abysmal,40
abysmally,40
abyss,40
ac,40
academic,40
accelerator,40
accents,40
accept,9
accepts,40
accesible,40
accessed,40
accessible,40
accidentally,40
accidently,40
accommodatemy,40
accommodates,40
accommodating,40
accomodates,40
accomodating,40
accompanied,40
accomplished,40
accomplishment,40
accord,40
accordingly,40
accumulate,40
accumulation,40
accuracy,40
accurately,40
accustom,40
achieve,40
achieving,40
acknowledged,40
acquainted,40
acrid,40
acs,40
act,2
actaully,40
acted,40
actionsall,40
activated,40
activating,40
activation,40
active,40
actively,40
activity,40
actuator,40
acutally,40
ada,40
adaptable,40
adavance,40
addendum,40
addicted,40
adding,2
additions,40
additonal,40
addressed,40
addresses,40
adds,2
addvice,40
ademas,40
adentro,40
adept,40
adequate,4
adhere,40
adhesive,40
adicional,40
adjustable,3
adjusting,3
adjustment,3
adjusts,40
admirably,40
admitted,40
adorable,40
adults,5
advance,40
advantage,40
advantages,40
adventure,40
adversarial,40
adverse,40
advertencias,40
advertises,40
advice,1
advise,2
advises,40
advocacy,40
aerospace,40
aesthetically,2
affecting,40
affects,40
affiliated,40
affiliation,40
affirm,40
affixed,40
affixing,40
afford,40
affordable,40
affordably,40
aforementioned,40
afternoon,40
afull,40
againgetting,40
againi,40
aged,40
agency,40
agent,40
aggravation,40
aggressive,40
agh,40
aghast,40
agian,40
aging,40
agrado,40
agreed,40
agreeing,40
ah,40
ahold,40
ahora,40
aid,1
aide,40
aids,40
aiming,40
aircraft,40
airdrying,40
aired,40
airflow,40
airfrying,40
airfrys,40
al,40
alarmed,40
alarming,40
alas,40
albeit,40
albiet,40
alerted,40
alerting,40
alfredo,40
algo,40
algunas,40
alike,40
alimentos,40
alimientos,40
alisaof,40
alittle,40
alive,40
alleged,40
alleging,40
alleviated,40
allid,40
allimportant,40
allll,40
allows,1
aloha,40
alongside,40
already,1
alter,40
alternates,40
alternating,40
alternative,40
alternatives,40
altogether,40
alumimum,40
amana,10
amazed,40
amazin,40
amazingly,40
amazong,40
amazons,1
ambient,40
amend,40
amends,40
amongst,40
amounted,40
amounting,40
amounts,1
amountthanking,40
amout,40
amperage,40
ample,40
amplio,40
amused,40
amz,40
analyzer,40
anchored,40
ancient,40
android,40
ands,40
anemic,40
anger,40
angled,40
animals,40
anniversary,40
annoy,40
annoyances,40
annoyingly,40
annoys,40
annunciator,40
anomaly,40
ans,40
anthony,40
anticipate,40
anticipated,2
antiquated,40
antique,40
anxiety,40
anxious,40
anyhoo,40
anyhow,40
anyways,40
apart,1
apartment,1
apartments,5
apllicances,40
apologize,40
apostrophe,40
apparatus,40
apparent,40
appeal,40
appealed,40
appeared,1
appetite,40
appetizers,40
application,40
appointments,40
apportioned,40
appreciated,1
appreciates,40
apprehensive,40
approaches,40
approaching,40
appropriately,40
approval,40
approving,40
approximate,40
apptwo,40
april,24
aptly,40
aqua,40
ara,40
arcaic,40
arced,40
arch,40
arcing,8
arcs,40
arduous,40
argue,40
arguing,40
argument,40
arizona,40
arking,40
arm,1
army,40
aroma,40
arpt,40
arranged,40
arrangement,40
array,40
arrows,40
arruino,40
art,40
artful,40
arthiritis,40
arthritic,40
arthur,40
artic,40
article,40
articulo,40
ary,40
asethetically,40
asinine,40
asked,1
asking,1
asks,40
asleep,40
asneeded,40
aspect,5
aspecto,40
ass,40
assaulted,40
assemble,40
assembled,40
assemblies,40
assembly,3
assess,40
asset,40
assign,40
assigned,40
assist,40
assistance,40
assistant,40
assisted,40
assists,40
associate,40
assumed,8
assumes,40
assurance,40
assuredly,40
assurion,40
aster,40
asthetically,40
astickler,40
asurian,40
asurion,9
atari,40
atfarberware,40
atomic,40
atop,40
atrocious,40
attach,1
attaches,40
attachment,40
attachments,40
attempting,40
attempts,12
attend,40
attentive,40
attest,40
attitude,40
attract,40
attracted,40
attractive,10
attributed,40
auburndale,40
aug,40
august,9
aunque,40
aunt,40
aup,40
author,40
authority,40
authorized,40
autistic,40
autobake,40
autocooks,40
autodefrost,40
automated,12
auxiliary,40
avalble,40
averted,40
avid,40
avocado,40
avoiding,40
await,40
awaiting,40
awakened,40
awards,40
awesome,4
awful,11
aye,40
babied,40
babysit,40
bachelor,40
backed,40
backhoe,40
backlighting,40
backlite,40
backs,40
backsplash,40
bacteria,40
badged,40
baganda,40
bagel,40
bagels,40
baker,40
bakers,40
bakes,40
balanced,40
ball,40
banging,1
bangs,40
bargain,40
barley,40
barn,40
baron,40
barrel,40
bartending,40
bases,40
bashed,40
basmati,40
basta,40
bastante,40
bat,40
battered,40
battle,40
battleship,40
battling,40
bay,40
bbb,40
bbq,40
beacon,40
beam,40
beamed,40
beans,40
bear,40
bears,40
beast,40
beat,5
beaten,40
beating,40
beats,40
beautiful,1
beauty,1
beaware,40
becoming,1
bedroom,5
bee,40
beech,40
beeeeep,40
beef,4
beefaroni,40
beeped,40
beepsno,40
beer,40
beg,40
began,13
beginner,40
beginng,40
behaving,40
behavior,1
bejeezus,40
believing,40
bells,5
belongs,40
beloved,40
bend,40
beneath,40
benefit,40
benefits,40
benign,40
berserk,40
beside,40
bestbuy,40
beta,40
betcha,40
betrayed,40
betterthan,40
beverageslarge,40
bew,40
beware,2
bezel,40
bialy,40
bialys,40
biased,40
bien,9
bigfer,40
bigger,1
biggger,40
bike,40
bill,1
billing,40
billow,40
billowed,40
billowing,40
bin,40
binding,40
bingo,40
bird,40
birth,40
bisque,40
bit,2
bite,40
bites,40
biting,40
bits,40
bitten,40
biweekly,40
bizarre,40
bla,40
blacked,40
blackened,40
blackndecker,40
blackout,40
blame,40
blamed,40
blaming,40
blanket,40
blaring,40
blast,40
blasted,40
blasts,40
blatantly,40
bleach,40
bleached,40
blech,40
blemishes,40
blend,40
blenders,40
bless,40
blessing,40
blessings,40
blink,40
blissfully,40
blister,40
blistering,40
blob,40
block,40
blocking,40
bloody,40
blown,3
blueberries,40
bluish,40
blur,40
blurb,40
blurry,40
bmw,40
bnb,40
boards,40
boats,40
bog,40
boilling,40
boilover,40
bombarded,40
bone,40
boneless,40
bones,40
bonito,40
bonkers,40
bonus,5
bonuses,40
boo,40
books,40
bookshelf,40
boomer,40
boooo,40
boost,40
boosts,40
boot,40
border,40
boring,40
bosch,40
bot,40
bothered,9
bothering,40
bothers,40
bothersum,40
bottle,40
bough,40
bounce,40
bounced,40
bounces,40
bouncy,40
boxing,40
boys,40
boyt,40
bpa,40
bracelet,40
bracket,40
brackets,40
