Word,Count
aa,19
abandon,19
abated,19
abdominal,19
abit,19
abnormal,19
abnormally,19
abraham,19
abrasions,19
abruptly,19
absence,19
absolete,19
absorb,19
absorbing,19
absorbs,19
abuilt,19
abused,19
abysmal,19
abysmally,19
abyss,19
ac,19
academic,19
accelerator,19
accents,19
accept,4
accepts,19
accesible,19
accessed,19
accessible,19
accidentally,19
accidently,19
accommodatemy,19
accommodates,19
accommodating,19
accomodates,19
accomodating,19
accompanied,19
accomplished,19
accomplishment,19
accord,19
accordingly,19
accumulate,19
accumulation,19
accuracy,19
accurately,19
accustom,19
achieve,19
achieving,19
acknowledged,19
acquainted,19
acrid,19
acs,19
act,1
actaully,19
acted,19
actionsall,19
activated,19
activating,19
activation,19
active,19
actively,19
activity,19
actuator,19
acutally,19
ada,19
adaptable,19
adavance,19
addendum,19
addicted,19
adding,1
additions,19
additonal,19
addressed,19
addresses,19
adds,1
addvice,19
ademas,19
adentro,19
adept,19
adequate,2
adhere,19
adhesive,19
adicional,19
adjustable,1
adjusting,1
adjustment,1
adjusts,19
admirably,19
admitted,19
adorable,19
adults,2
advance,19
advantage,19
advantages,19
adventure,19
adversarial,19
adverse,19
advertencias,19
advertises,19
advice,1
advise,1
advises,19
advocacy,19
aerospace,19
aesthetically,1
affecting,19
affects,19
affiliated,19
affiliation,19
affirm,19
affixed,19
affixing,19
afford,19
affordable,19
affordably,19
aforementioned,19
afternoon,19
afull,19
againgetting,19
againi,19
aged,19
agency,19
agent,19
aggravation,19
aggressive,19
agh,19
aghast,19
agian,19
aging,19
agrado,19
agreed,19
agreeing,19
ah,19
ahold,19
ahora,19
aide,19
aids,19
aiming,19
aircraft,19
airdrying,19
aired,19
airflow,19
airfrying,19
airfrys,19
al,19
alarmed,19
alarming,19
alas,19
albeit,19
albiet,19
alerted,19
alerting,19
alfredo,19
algo,19
algunas,19
alike,19
alimentos,19
alimientos,19
alisaof,19
alittle,19
alive,19
alleged,19
alleging,19
alleviated,19
allid,19
allimportant,19
allll,19
aloha,19
alongside,19
alter,19
alternates,19
alternating,19
alternative,19
alternatives,19
altogether,19
alumimum,19
amana,5
amazed,19
amazin,19
amazingly,19
amazong,19
ambient,19
amend,19
amends,19
amongst,19
amounted,19
amounting,19
amountthanking,19
amout,19
amperage,19
ample,19
amplio,19
amused,19
amz,19
analyzer,19
anchored,19
ancient,19
android,19
ands,19
anemic,19
anger,19
angled,19
animals,19
anniversary,19
annoy,19
annoyances,19
annoyingly,19
annoys,19
annunciator,19
anomaly,19
ans,19
anthony,19
anticipate,19
anticipated,1
antiquated,19
antique,19
anxiety,19
anxious,19
anyhoo,19
anyhow,19
anyways,19
apartments,2
apllicances,19
apologize,19
apostrophe,19
apparatus,19
apparent,19
appeal,19
appealed,19
appeared,1
appetite,19
appetizers,19
application,19
appointments,19
apportioned,19
appreciates,19
apprehensive,19
approaches,19
approaching,19
appropriately,19
approval,19
approving,19
approximate,19
apptwo,19
april,11
aptly,19
aqua,19
ara,19
arcaic,19
arced,19
arch,19
arcing,4
arcs,19
arduous,19
argue,19
arguing,19
argument,19
arizona,19
arking,19
army,19
aroma,19
arpt,19
arranged,19
arrangement,19
array,19
arrows,19
arruino,19
art,19
artful,19
arthiritis,19
arthritic,19
arthur,19
artic,19
article,19
articulo,19
ary,19
asethetically,19
asinine,19
asks,19
asleep,19
asneeded,19
aspect,2
aspecto,19
ass,19
assaulted,19
assemble,19
assembled,19
assemblies,19
assembly,1
assess,19
asset,19
assign,19
assigned,19
assist,19
assistance,19
assistant,19
assisted,19
assists,19
associate,19
assumed,4
assumes,19
assurance,19
assuredly,19
assurion,19
aster,19
asthetically,19
astickler,19
asurian,19
asurion,4
atari,19
atfarberware,19
atomic,19
atop,19
atrocious,19
attach,1
attaches,19
attachment,19
attachments,19
attempting,19
attempts,6
attend,19
attentive,19
attest,19
attitude,19
attract,19
attracted,19
attractive,5
attributed,19
auburndale,19
aug,19
august,4
aunque,19
aunt,19
aup,19
author,19
authority,19
authorized,19
autistic,19
autobake,19
autocooks,19
autodefrost,19
automated,6
auxiliary,19
avalble,19
averted,19
avid,19
avocado,19
avoiding,19
await,19
awaiting,19
awakened,19
awards,19
awesome,2
awful,5
aye,19
babied,19
babysit,19
bachelor,19
backed,19
backhoe,19
backlighting,19
backlite,19
backs,19
backsplash,19
bacteria,19
badged,19
baganda,19
bagel,19
bagels,19
baker,19
bakers,19
bakes,19
balanced,19
ball,19
banging,1
bangs,19
bargain,19
barley,19
barn,19
baron,19
barrel,19
bartending,19
bases,19
bashed,19
basmati,19
basta,19
bastante,19
bat,19
battered,19
battle,19
battleship,19
battling,19
bay,19
bbb,19
bbq,19
beacon,19
beam,19
beamed,19
beans,19
bear,19
bears,19
beast,19
beat,2
beaten,19
beating,19
beats,19
beautiful,1
beaware,19
becoming,1
bedroom,2
bee,19
beech,19
beeeeep,19
beef,2
beefaroni,19
beeped,19
beepsno,19
beer,19
beg,19
began,6
beginner,19
beginng,19
behaving,19
behavior,1
bejeezus,19
believing,19
bells,2
belongs,19
beloved,19
bend,19
beneath,19
benefit,19
benefits,19
benign,19
berserk,19
beside,19
bestbuy,19
beta,19
betcha,19
betrayed,19
betterthan,19
beverageslarge,19
bew,19
beware,1
bezel,19
bialy,19
bialys,19
biased,19
bien,4
bigfer,19
biggger,19
bike,19
billing,19
billow,19
billowed,19
billowing,19
bin,19
binding,19
bingo,19
bird,19
birth,19
bisque,19
bit,1
bite,19
bites,19
biting,19
bits,19
bitten,19
biweekly,19
bizarre,19
bla,19
blacked,19
blackened,19
blackndecker,19
blackout,19
blame,19
blamed,19
blaming,19
blanket,19
blaring,19
blast,19
blasted,19
blasts,19
blatantly,19
bleach,19
bleached,19
blech,19
blemishes,19
blend,19
blenders,19
bless,19
blessing,19
blessings,19
blink,19
blissfully,19
blister,19
blistering,19
blob,19
block,19
blocking,19
bloody,19
blown,1
blueberries,19
bluish,19
blur,19
blurb,19
blurry,19
bmw,19
bnb,19
boards,19
boats,19
bog,19
boilling,19
boilover,19
bombarded,19
bone,19
boneless,19
bones,19
bonito,19
bonkers,19
bonus,2
bonuses,19
boo,19
books,19
bookshelf,19
boomer,19
boooo,19
boost,19
boosts,19
boot,19
border,19
boring,19
bosch,19
bot,19
bothered,4
bothering,19
bothers,19
bothersum,19
bottle,19
bough,19
bounce,19
bounced,19
bounces,19
bouncy,19
boxing,19
boys,19
boyt,19
bpa,19
bracelet,19
bracket,19
brackets,19
brad,19
braeck,19
brainer,19
brains,19
brake,19
brakes,19
brandi,19
breadcrumbs,19
breads,19
breadyou,19
breakdowns,19
breakfast,4
breakroom,19
breasts,19
breathe,19
breathing,19
breeze,4
breville,19
brghter,19
brick,2
bridge,19
briefly,19
brighter,19
brightest,19
brilliant,19
brilliantly,19
brimstone,19
brio,19
brisket,19
brittle,19
broiled,19
broiling,1
broils,19
brokedown,19
broken,1
brother,19
brownouts,19
browns,19
brownspush,19
browser,19
bruise,19
brushing,19
bs,19
bubbled,1
bubbles,19
bubbly,19
bucci,19
buck,1
buddies,19
budge,19
budner,19
buen,19
buena,19
buffalo,19
builders,19
bulb,3
bulges,19
bulk,19
bulkiness,19
bulletproof,19
bumble,19
bummed,19
bumped,19
bumps,19
bumpy,19
bun,19
bundle,19
bureau,19
bureaucratic,19
burglar,19
burnedso,19
burning,1
burns,1
burnt,2
burs,19
burst,19
bursts,19
bus,19
bushing,19
busted,19
butcher,19
butthere,19
buttonit,19
buttonmakes,19
buyer,6
buyi,19
buyquality,19
buys,19
buzzed,19
buzzes,19
buzzing,1
bypass,19
bypassing,19
c,19
cabin,19
cabinets,1
cabnets,19
cace,19
cafeterias,19
cage,19
cake,19
caked,19
cakes,19
calculate,19
calculates,19
calibrate,19
calidad,19
calienten,19
callback,19
calling,3
callouts,19
calls,1
cambien,19
camera,19
cameras,19
camping,19
canadian,19
cancel,1
cancelation,19
canceled,19
cancelled,19
cancelling,19
cancerous,19
candid,19
candidate,19
candles,19
cannister,19
cans,19
capacitor,19
capacity,1
cappuccino,19
caption,19
capture,19
car,19
carbon,19
card,1
cards,19
carefree,19
caregiver,19
caregivers,19
careless,19
carelessness,19
cares,19
carless,19
carosel,19
carriage,19
carries,19
carrying,19
cars,19
cascade,19
cash,19
cashed,19
casio,19
casserole,19
cast,19
cat,19
catastrophe,19
catastrophic,19
catches,19
cate,19
cater,19
catholic,19
cats,19
caught,3
cauliflower,19
caused,1
cautionary,19
cautions,19
cautiously,19
caveat,19
caveats,19
cavemen,19
cavernous,19
cbought,19
cc,19
cease,19
ceased,19
ceases,19
ceasing,19
cell,3
cellphone,19
cells,19
cellular,19
cement,19
censor,19
centering,19
centerpiece,19
centers,19
cents,19
cereal,19
cerealbowl,19
certifications,19
certified,19
cf,19
cfthis,19
chai,19
chain,19
chair,19
chairs,19
challenge,19
challenged,19
challenges,19
champ,19
changer,19
channels,19
characteristic,19
charcoal,19
charge,19
charged,19
charging,19
charm,3
chase,19
chasing,19
chassis,19
chat,5
chatroom,19
chatted,19
chattering,19
cheapening,19
cheapie,19
cheaping,19
cheated,19
checked,2
checklist,19
checks,19
cheerful,19
cheesy,19
chefman,19
chefs,19
chemical,2
chemically,19
chemicals,19
cherry,19
chic,19
chickens,19
chico,19
childhood,19
chili,19
chill,19
chilly,19
chime,1
chimes,19
chipped,19
chirp,19
chocolate,2
chocolates,19
choir,19
chop,19
choppy,19
chops,19
chore,19
chores,19
christian,19
christmastime,19
chrome,1
chronic,19
chunk,19
chunks,19
chunky,19
ciento,19
cinch,19
cinnamon,19
circle,3
circuitry,19
circular,19
circulation,19
circumstance,19
circumvented,19
cited,19
city,1
claim,6
claiming,19
claims,19
clamp,19
clanging,19
clangs,19
clank,19
clanks,19
clarification,19
clarify,19
clarity,19
classes,19
classic,19
classification,19
clatters,19
cleaner,19
cleaners,19
cleanest,19
cleaneven,19
cleanliness,19
cleans,19
cleanthe,19
cleanupsetting,19
cleanyes,19
clearance,2
clearances,19
clearing,19
cleary,19
climbed,19
cling,19
clink,19
clinks,19
clips,19
clocks,19
clone,19
clooge,19
closes,1
cloth,1
clothes,19
cloud,19
clue,1
clueless,19
clunks,19
clunky,4
clutter,19
cluttered,19
coast,19
coat,19
coats,19
cob,19
cocoa,19
code,1
codes,19
coding,19
coffeemaker,19
coffin,19
coil,19
coincidental,19
coincidently,19
colddont,19
coldest,19
collage,19
collarbones,19
colleagues,19
collect,19
collecting,19
collections,19
collects,1
college,1
collided,19
color,1
colorado,19
coloration,19
colored,3
coloring,19
colors,1
colour,19
column,19
combi,19
combinationbefore,19
combinations,19
combined,1
combines,19
combining,19
combos,19
combustible,19
comfortably,19
comfy,19
comidas,19
commanding,19
commend,19
commenter,19
commenters,19
comming,19
commit,19
commodity,19
communicate,19
communication,19
como,19
compact,1
compactmicrowave,19
compactness,19
compacto,19
compair,19
companies,4
companion,19
compartment,19
compensate,19
compensated,19
compensation,19
compete,19
competing,19
competition,19
competitivo,19
complains,19
complaints,1
complements,19
completely,1
completes,19
completing,19
completion,19
complied,19
complimentary,19
comply,19
compra,19
comprar,19
compre,19
comprehend,19
comprehensive,19
compress,19
compression,19
compromise,19
compromised,19
compromising,19
computer,1
con,8
conceded,19
concentrate,19
concentrated,19
concept,19
conceptualize,19
concern,1
concert,19
conclude,19
concluded,19
conclusion,19
condemnation,19
condensation,2
condenses,19
condiciones,19
conditioning,19
conditionthat,19
condo,1
cones,19
confess,19
confidently,19
configurable,19
configuration,19
configured,19
configuring,19
confirmation,19
confusion,19
conjecture,19
conjunction,19
connection,4
connector,19
connoisseur,19
conocimiento,19
cons,5
consecutive,19
consenting,19
conserve,19
considerable,1
considerably,19
consideration,19
considerations,19
considers,19
consist,19
consistency,19
consmedic,19
constantly,1
constrained,19
constraint,19
constructioneasy,19
consume,19
consumers,19
consumes,19
contact,2
contacted,9
contactedtoshiba,19
contacting,2
contained,19
contemplating,19
contemporary,19
contenedores,19
content,19
contento,19
contents,19
continous,19
continued,1
continuedly,19
continuous,19
continuum,19
contortion,19
contract,19
contracted,19
contraption,19
contrasting,19
contributed,19
contributing,19
controllable,19
controlled,19
controller,19
controlling,19
convect,19
convectional,19
convectioncombo,19
convections,19
conveniently,19
convention,19
conventional,1
conversations,19
conversion,19
convert,19
converted,19
convertible,19
converting,19
convience,19
convienence,19
convoluted,19
cookbook,19
cookie,19
cookies,19
cookingif,19
cookingor,19
cooler,19
coooking,19
