Word,Count
a,2780
abated,1
ability,13
abit,1
able,43
about,240
above,19
absence,1
absolute,2
absolutely,20
absorbing,1
absorbs,1
abuilt,1
abuse,1
ac,1
accelerator,1
accents,2
accept,1
acceptable,2
accepted,1
accepting,1
accepts,1
accesible,1
access,4
accessed,1
accessible,1
accessories,2
accident,2
accommodate,2
accommodatemy,1
accommodates,4
accommodating,1
accomodate,1
accomodates,1
accompanying,1
accomplish,2
accomplishment,1
according,3
account,3
accumulate,1
accumulated,1
accumulation,1
accurate,15
accurately,1
accustom,1
accustomed,4
ace,1
achieve,1
achieved,1
achieving,1
acquainted,1
acquired,1
across,12
act,3
acting,2
action,2
actionsall,1
activate,3
activation,1
active,1
acts,1
actual,12
actually,56
actuator,1
ad,1
adapt,1
adaptable,1
adapter,1
add,60
added,9
addendum,1
addicted,1
adding,16
addition,9
additional,10
additionally,2
address,5
adds,6
ademas,1
adentro,1
adequate,8
adequately,1
adhesive,1
adicional,1
adjacent,1
adjust,11
adjustable,4
adjusted,2
adjusting,4
adjustment,4
adjustments,2
adjusts,1
admirably,1
admit,3
adult,2
adults,1
advance,2
advanced,4
advantage,1
advantages,1
adventure,1
advertencias,1
advertised,17
advertisement,1
advertising,2
advice,1
advise,1
advised,2
advocacy,1
aerospace,1
aesthetic,1
aesthetically,3
aesthetics,1
af,1
affect,2
affected,1
affects,1
affiliation,1
affirm,1
affixed,1
affixing,1
affordable,6
affordably,1
aforementioned,1
afraid,3
after,201
afterwards,1
afull,1
again,74
against,8
age,6
aged,1
ages,1
aggravating,1
aging,1
ago,24
agrado,1
agree,3
agreeing,1
ahead,5
ahora,1
aid,2
aide,1
aids,1
aim,1
air,157
airdrying,1
airflow,1
airfried,1
airfry,6
airfryer,7
airfrying,6
airfrys,1
airplane,1
ajar,2
aka,2
al,1
alarm,5
alarmed,1
alarms,1
alcove,1
alert,5
alerting,1
alerts,1
alexa,77
alfredo,1
algo,1
align,1
aligned,1
alike,1
alimentos,1
alittle,1
all,294
allimportant,1
allotted,1
allow,9
allowed,5
allowing,4
allows,13
almost,52
alone,12
along,8
alongside,1
alot,7
already,16
alright,1
also,185
alter,1
alternate,2
alternates,1
alternating,1
alternative,1
although,26
alumimum,1
aluminum,1
always,44
am,115
amana,6
amazed,2
amazing,13
amazingly,2
amazon,63
amazons,2
ambient,1
america,1
american,1
among,2
amongst,1
amount,18
amounts,2
amout,1
amp,2
amperage,1
ample,1
amplio,1
amps,6
an,266
anchor,1
anchored,1
ancient,1
and,2676
android,1
ands,1
anger,1
angle,2
angles,1
angry,1
animals,1
annoy,1
annoyance,2
annoyances,1
annoyed,2
annoying,34
annoyingly,1
annoys,1
annunciator,1
another,76
ans,1
answer,2
answered,2
answering,1
answers,1
anticipate,1
anticipated,3
anticipating,1
antiquated,1
ants,1
anxiety,1
anxious,1
any,121
anybody,1
anyhoo,1
anymore,8
anyone,16
anything,62
anytime,1
anyway,12
anyways,1
anywhere,5
apart,2
apartment,38
apartments,4
apllicances,1
app,27
apparently,8
appeal,1
appealing,1
appear,4
appearance,9
appeared,2
appearing,1
appears,9
appetizers,1
apple,1
appliance,46
appliances,48
application,2
applied,1
applies,1
apply,2
apportioned,1
appreciate,8
appreciated,2
apprehensive,2
approach,1
appropriate,2
approved,1
approx,2
approximate,1
approximately,2
apps,2
april,1
apt,5
aqua,1
ara,1
arbitrary,1
arc,2
arcaic,1
arch,1
arcing,1
are,383
area,21
areas,5
argue,1
arm,1
arms,1
army,1
around,55
arrange,1
arranged,1
arrangement,1
array,1
arrival,4
arrive,2
arrived,36
arrives,1
arriving,2
arrows,1
artful,1
arthiritis,1
arthritic,1
arthritis,1
arthur,1
artic,1
article,1
articulo,1
ary,1
as,568
asap,1
asethetically,1
aside,5
ask,10
asked,8
asking,1
asleep,1
aspect,4
aspecto,1
aspects,1
assemble,1
assembly,1
assess,1
asset,1
assistant,1
assisted,1
associate,1
associated,1
assume,6
assumed,1
assumes,1
assuming,2
assumption,1
assure,1
assured,1
assuredly,1
assuring,1
aster,1
asthetically,1
astickler,1
asurion,1
at,297
ate,1
atfarberware,1
atomic,1
atop,1
attach,1
attached,4
attachment,1
attachments,1
attempt,3
attempted,1
attempts,1
attention,6
attentive,1
attest,1
attract,1
attracted,1
attractive,19
attributed,1
auburndale,1
audible,1
audio,1
august,1
aunque,1
aunt,1
author,1
authorization,1
auto,18
autobake,1
autocooks,1
automated,1
automatic,6
automatically,12
auxiliary,1
avail,1
availability,1
available,13
avalble,1
average,9
avid,1
avocado,1
avoid,9
avoided,1
await,1
awakened,1
aware,11
away,33
awesome,20
awful,1
awhile,6
awkward,2
axis,1
aye,1
b,5
baby,1
babysitting,1
back,99
background,4
backlight,1
backlighting,2
backlit,7
backlite,1
backsplash,1
backup,4
backward,1
backwards,4
backyard,1
bacon,6
bad,38
badged,1
badly,3
baffles,1
bag,21
bagel,1
bagels,1
bagged,1
bags,9
bake,16
baked,11
baker,1
bakers,1
bakes,1
bakeware,1
baking,18
balance,2
balanced,1
bam,1
band,1
bang,5
banged,1
banging,1
bangs,1
bank,2
bar,1
barbie,1
bare,1
barely,11
bargain,4
barn,1
baron,1
bars,1
bartending,1
base,3
based,10
basement,5
bashed,1
basic,26
basically,9
basics,2
basis,2
basket,2
bastante,1
batch,1
bath,1
bathroom,1
batter,1
battery,1
bay,1
bbq,1
bc,6
bd,11
be,457
beach,2
beacon,1
beam,1
beans,1
bearing,1
bears,1
beast,4
beat,8
beats,1
beautiful,18
beautifully,2
beauty,2
beaware,1
became,5
because,189
become,5
becomes,2
becoming,1
bed,1
bedroom,4
bee,1
beef,1
beefaroni,1
been,118
beep,48
beeper,5
beeping,31
beepless,1
beeps,53
beer,1
before,70
beforehand,1
beg,1
began,2
begin,2
beginng,1
beginning,4
begins,3
begun,1
behavior,1
behemoth,2
behind,6
behold,2
being,56
bejeezus,1
believe,18
believing,1
bell,4
bells,12
beloved,1
below,8
bench,2
bend,2
beneath,4
benefits,1
bent,4
beside,1
besides,6
best,65
bet,2
beta,1
better,99
betterthan,1
between,24
beverage,15
beverages,6
beverageslarge,1
bew,1
beware,3
beyond,5
bezel,1
bialy,1
bialys,1
bien,6
big,115
bigger,44
biggest,9
biggie,1
bill,6
billing,1
bills,1
bind,1
binding,1
bingo,1
bird,1
birthday,1
biscuits,1
bisque,1
bit,105
bites,1
biting,1
bits,2
bla,1
black,72
blamed,1
blank,1
blaring,1
blast,4
blasts,1
blazing,1
blech,1
blender,1
blends,2
bless,1
blessing,2
blessings,1
blew,4
blind,5
blinking,1
blinks,1
blissfully,1
blob,1
block,1
blocking,1
blocks,1
blow,4
blown,1
blows,2
blue,10
bluetooth,1
blur,1
blurb,1
blurry,1
bmw,1
bnb,1
board,6
boards,2
boat,2
boats,1
body,2
bog,1
boil,12
boiled,2
boiling,6
boilover,1
boils,2
bold,2
bomb,1
bombarded,1
bone,1
boneless,1
bones,1
bonito,2
bonus,9
bonuses,1
book,12
booklet,9
books,1
bookshelf,1
boom,1
boomer,1
boosts,1
bore,1
boring,1
borrowed,1
bosch,2
both,35
bother,8
bothered,6
bothering,1
bothers,1
bothersome,1
bothersum,1
bottom,23
bought,141
bounced,1
bounces,1
bouncing,2
bouncy,1
bound,1
bowl,13
bowls,5
box,67
boxed,2
boxes,4
boy,2
boys,1
boyt,1
brace,1
bracket,1
brackets,1
braeck,1
brainer,1
brake,1
brand,50
branded,1
brands,10
bread,12
breadcrumbs,1
breads,1
breadyou,1
break,6
breakdown,1
breaker,13
breakers,1
breakfast,5
breaking,2
breakroom,1
breaks,2
breast,1
breath,1
breathing,1
breeze,5
breville,2
brghter,1
brick,1
brief,1
bright,29
brighter,7
brightest,1
brightly,1
brightness,1
bring,1
bringing,1
brings,2
brisket,1
brittle,1
broccoli,1
broil,5
broiled,1
broiler,6
broiling,3
broils,1
broke,21
brokedown,1
broken,11
brother,1
brought,4
brown,8
browned,1
brownies,1
browning,2
browns,2
brownspush,1
brush,1
brushed,1
brussels,2
btw,1
bubble,4
bubbled,1
bubbling,3
bubbly,1
buck,4
bucket,1
bucks,5
buddies,1
budget,4
budner,1
buen,7
buena,2
bueno,1
buffalo,1
bug,1
buggy,1
bugs,2
build,9
builders,1
building,2
builds,1
buildup,1
built,26
bulb,4
bulbs,1
bulk,1
bulky,4
bullet,2
bulletproof,1
bum,1
bumble,1
bummer,3
bump,5
bumping,1
bumps,1
bumpy,1
bun,1
bunch,5
bundle,1
burger,1
burglar,1
burn,11
burned,13
burnedso,1
burning,8
burns,3
burnt,4
burrito,1
burritos,2
burs,1
bursts,1
bushing,1
business,4
busted,1
busy,4
but,946
butcher,1
butt,1
butter,12
buttered,1
button,256
buttonit,1
buttons,166
buy,96
buyer,1
buyers,3
buying,22
buzz,2
buzzer,4
buzzing,4
by,116
bypassing,1
ca,1
cabin,1
cabinet,31
cabinets,11
cable,2
cabnets,1
caja,2
